Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,CqMean,History
A01,SYBR,Cg_18s(1408/9),Unkn,NTC1_ctenidia,,21.86330877,21.86330877,NT
A02,SYBR,Cg_18s(1408/9),Unkn,NTC2_ctenidia,,19.41253351,19.41253351,NT
A03,SYBR,Cg_18s(1408/9),Unkn,NTH1_ctenidia,,20.13402251,20.13402251,NT
A04,SYBR,Cg_18s(1408/9),Unkn,NTH2_ctenidia,,20.20030281,20.20030281,NT
A05,SYBR,Cg_18s(1408/9),Unkn,NTHM1_ctenidia,,20.65186347,20.65186347,NT
A06,SYBR,Cg_18s(1408/9),Unkn,NTHM2_ctenidia,,20.34020899,20.34020899,NT
A07,SYBR,Cg_18s(1408/9),Unkn,NTM1_ctenidia,,21.65945565,21.65945565,NT
A08,SYBR,Cg_18s(1408/9),Unkn,NTM2_ctendia,,19.97154035,19.97154035,NT
A09,SYBR,Cg_18s(1408/9),Unkn,TC1_ctenidia,,20.68993623,20.68993623,T
A10,SYBR,Cg_18s(1408/9),Unkn,TC2_ctendia,,20.68528157,20.68528157,T
A11,SYBR,Cg_18s(1408/9),Unkn,TH1_ctenidia,,22.67310771,22.67310771,T
A12,SYBR,Cg_18s(1408/9),Unkn,TH2_ctenidia,,21.86291505,21.86291505,T
B01,SYBR,Cg_18s(1408/9),Unkn,THM1_ctenidia,,25.61592417,25.61592417,T
B02,SYBR,Cg_18s(1408/9),Unkn,THM2_ctenidia,,22.36287451,22.36287451,T
B03,SYBR,Cg_18s(1408/9),Unkn,TM1_ctendia,,21.58476344,21.58476344,T
B04,SYBR,Cg_18s(1408/9),Unkn,TM2_ctenidia,,21.2996482,21.2996482,T
C01,SYBR,Cg_Actin(1170/1),Unkn,NTC1_ctenidia,,21.26451974,21.26451974,NT
C02,SYBR,Cg_Actin(1170/1),Unkn,NTC2_ctenidia,,21.12724131,21.12724131,NT
C03,SYBR,Cg_Actin(1170/1),Unkn,NTH1_ctenidia,,21.37720822,21.37720822,NT
C04,SYBR,Cg_Actin(1170/1),Unkn,NTH2_ctenidia,,22.02790877,22.02790877,NT
C05,SYBR,Cg_Actin(1170/1),Unkn,NTHM1_ctenidia,,21.0417136,21.0417136,NT
C06,SYBR,Cg_Actin(1170/1),Unkn,NTHM2_ctenidia,,21.06744394,21.06744394,NT
C07,SYBR,Cg_Actin(1170/1),Unkn,NTM1_ctenidia,,20.76867392,20.76867392,NT
C08,SYBR,Cg_Actin(1170/1),Unkn,NTM2_ctendia,,21.34937979,21.34937979,NT
C09,SYBR,Cg_Actin(1170/1),Unkn,TC1_ctenidia,,22.95030219,22.95030219,T
C10,SYBR,Cg_Actin(1170/1),Unkn,TC2_ctendia,,21.55511977,21.55511977,T
C11,SYBR,Cg_Actin(1170/1),Unkn,TH1_ctenidia,,21.30952166,21.30952166,T
C12,SYBR,Cg_Actin(1170/1),Unkn,TH2_ctenidia,,22.06121244,22.06121244,T
D01,SYBR,Cg_Actin(1170/1),Unkn,THM1_ctenidia,,20.30570099,20.30570099,T
D02,SYBR,Cg_Actin(1170/1),Unkn,THM2_ctenidia,,22.17883407,22.17883407,T
D03,SYBR,Cg_Actin(1170/1),Unkn,TM1_ctendia,,20.62955555,20.62955555,T
D04,SYBR,Cg_Actin(1170/1),Unkn,TM2_ctenidia,,20.37501838,20.37501838,T
E01,SYBR,Cg_Def(1160/1),Unkn,NTC1_ctenidia,,38.84470048,38.84470048,NT
E02,SYBR,Cg_Def(1160/1),Unkn,NTC2_ctenidia,,37.34535333,37.34535333,NT
E03,SYBR,Cg_Def(1160/1),Unkn,NTH1_ctenidia,,37.25942679,37.25942679,NT
E04,SYBR,Cg_Def(1160/1),Unkn,NTH2_ctenidia,,38.3555452,38.3555452,NT
E05,SYBR,Cg_Def(1160/1),Unkn,NTHM1_ctenidia,,36.79746277,36.79746277,NT
E06,SYBR,Cg_Def(1160/1),Unkn,NTHM2_ctenidia,,38.70598096,38.70598096,NT
E07,SYBR,Cg_Def(1160/1),Unkn,NTM1_ctenidia,,39.43836277,39.43836277,NT
E08,SYBR,Cg_Def(1160/1),Unkn,NTM2_ctendia,,38.1752822,38.1752822,NT
E09,SYBR,Cg_Def(1160/1),Unkn,TC1_ctenidia,,39.47330757,39.47330757,T
E10,SYBR,Cg_Def(1160/1),Unkn,TC2_ctendia,,39.07538325,39.07538325,T
E11,SYBR,Cg_Def(1160/1),Unkn,TH1_ctenidia,,NaN,0,T
E12,SYBR,Cg_Def(1160/1),Unkn,TH2_ctenidia,,34.11554573,34.11554573,T
F01,SYBR,Cg_Def(1160/1),Unkn,THM1_ctenidia,,NaN,0,T
F02,SYBR,Cg_Def(1160/1),Unkn,THM2_ctenidia,,NaN,0,T
F03,SYBR,Cg_Def(1160/1),Unkn,TM1_ctendia,,NaN,0,T
F04,SYBR,Cg_Def(1160/1),Unkn,TM2_ctenidia,,39.21650747,39.21650747,T
G01,SYBR,IL-17_internal(256/7),Unkn,NTC1_ctenidia,,29.76692564,29.76692564,NT
G02,SYBR,IL-17_internal(256/7),Unkn,NTC2_ctenidia,,28.53870832,28.53870832,NT
G03,SYBR,IL-17_internal(256/7),Unkn,NTH1_ctenidia,,28.63852987,28.63852987,NT
G04,SYBR,IL-17_internal(256/7),Unkn,NTH2_ctenidia,,28.41719638,28.41719638,NT
G05,SYBR,IL-17_internal(256/7),Unkn,NTHM1_ctenidia,,28.9139235,28.9139235,NT
G06,SYBR,IL-17_internal(256/7),Unkn,NTHM2_ctenidia,,29.03316628,29.03316628,NT
G07,SYBR,IL-17_internal(256/7),Unkn,NTM1_ctenidia,,28.6457424,28.6457424,NT
G08,SYBR,IL-17_internal(256/7),Unkn,NTM2_ctendia,,29.37490639,29.37490639,NT
G09,SYBR,IL-17_internal(256/7),Unkn,TC1_ctenidia,,29.23671369,29.23671369,T
G10,SYBR,IL-17_internal(256/7),Unkn,TC2_ctendia,,29.98445576,29.98445576,T
G11,SYBR,IL-17_internal(256/7),Unkn,TH1_ctenidia,,30.07833917,30.07833917,T
G12,SYBR,IL-17_internal(256/7),Unkn,TH2_ctenidia,,29.43991181,29.43991181,T
H01,SYBR,IL-17_internal(256/7),Unkn,THM1_ctenidia,,33.11474892,33.11474892,T
H02,SYBR,IL-17_internal(256/7),Unkn,THM2_ctenidia,,30.06613697,30.06613697,T
H03,SYBR,IL-17_internal(256/7),Unkn,TM1_ctendia,,29.82483765,29.82483765,T
H04,SYBR,IL-17_internal(256/7),Unkn,TM2_ctenidia,,29.74498174,29.74498174,T
